MOVIE_TITLE;RELEASE_YEAR;RATING_AVG;RATING_CRITICS;RATING_AUDIENCE;VOTES_COUNT
Antologia dada e surrealista;1923;9,4;9,33;9;12
Antologia di Petrolini;1930;7;7;7;4
Antonio di Padova;1949;2,4;3,75;1;5
Antonio e Placido - Attenti ragazzi... chi rompe paga!;1975;5,7;3,33;8;4
Wings of the Apache;1990;4,6;4;5;11
Una storia moderna - L'ape regina;1963;7,5;7,46;7;70
Apocalypse domani;1980;5;4,75;5;36
Apparizione;1944;6,7;6;7;11
Bachelor Flat;1962;7,8;8;8;3
Appassionatamente;1954;5,1;4,5;6;8
Appuntamento a Liverpool;1988;4,9;4,5;5;22
Blind Date;1987;6,8;7;7;88
L'agression;1975;5,2;5;5;18
Date with an Angel;1987;3,7;3;4;11
L'appuntamento (dove, come, quando?);1977;4,3;4;5;6
Appuntamento in nero;1990;3,8;2;6;7
Yours, Mine and Ours;1968;7,3;8;7;40
April in Paris;1952;5,8;6,5;5;10
L'aigle a deux tetes;1948;7,2;7,8;7;18
The Eagle;1925;7,3;7;8;12
Iron Eagle II;1988;4,2;4;4;13
Strategic Air Commando;1955;6,9;7,5;6;10
Arachnophobia;1990;6,7;7;6;78
Aragosta a colazione;1979;5,5;5,73;5;39
L'Arcangelo;1969;5;4;6;20
Quentin Durward;1955;6,1;6;6;13
L'arciere di fuoco;1971;4,4;3;6;19
Ofelas;1987;7,4;8;7;20
Sword of Sherwood Forest;1960;5,8;6;6;4
Air Force;1943;7,9;7,63;8;26
Arch of Triumph;1948;6,7;6,57;7;27
Geheimcode Wildganse;1985;5,1;3,5;7;8
Spitfire;1934;4,8;4,67;5;14
The Argonauts;1963;7,3;6,8;8;65
Aria;1987;6,2;6,4;6;15
Aria di paese;1933;6,3;6;7;3
L'aria serena dell'Ovest;1990;7,6;8,33;7;40
A Dry White Season;1989;6,6;6,6;7;44
Mean Dog Blues;1978;6,5;8;5;3
Arizona Colt;1966;5,1;5,2;5;13
Arizona si scateno... e li fece fuori tutti!;1970;4,6;4,5;5;13
Gun Glory;1957;4,7;4;5;17
Lethal Weapon;1987;7,2;7,11;7;222
Lethal Weapon 2;1989;6,8;6,75;7;166
Dark Angel;1990;5,3;5;6;27
L'armee des ombres;1969;8;8,15;8;67
L'armata ritorna;1983;6,3;6,33;6;15
The Killing Time;1987;5,3;6;5;4
Hardi! Pardaillan;1963;5,4;6;5;5
Armiamoci e partite!;1971;5,9;6;6;28
Arrangiatevi;1959;7,2;7,15;7;88
