MOVIE_TITLE;RELEASE_YEAR;RATING_AVG;RATING_CRITICS;RATING_AUDIENCE;VOTES_COUNT
La casa nel tempo;1989;5,9;5,83;6;31
Se vincessi cento milioni;1953;3;3;3;3
My Teacher's Wife;1995;4;4;4;3
Rosencrantz and Guildenstern Are Dead;1990;7;6,82;7;61
Soshun;1956;7,9;7,75;8;30
Stephen King's Storm of the Century;1999;7,4;8;7;32
Sabrina Goes to Rome;1998;5,3;4;7;4
A Simply Wish;1997;5,4;6;5;10
Amico, stammi lontano almeno un palmo;1973;5,6;5,75;5;25
Torna a Sorrento;1945;3,3;4;3;7
Operation Dumbo Drop;1995;5,1;6;4;8
Three Secrets;1999;7;4;10;4
Two Thousand and None;2000;6;6;6;7
The Gift;2000;6,5;6,4;7;182
Final Fantasy: The Spirits Within;2001;5,4;5,25;5;55
The Way of the Gun;2000;6,4;6,43;6;46
Spy Kids;2001;5,7;5,67;6;88
Bootmen;2000;7,2;8;6;7
There's Only One Jimmy Grimble;2000;5,4;5,2;6;50
Crocodile Dundee in Los Angeles;2000;3,2;2,5;4;36
The Fireball;1950;4,7;5,33;4;4
One Minute to Zero;1952;5,8;6;6;13
Joy of Living;1938;5,9;6;6;14
Driven;2001;4;4;4;60
The Bumblebee Flies Anyway;2000;5,3;4;7;7
Bad Day on the Block;1997;6,1;6;6;7
Nadja;1994;6,5;6;7;15
Corbari;1970;5,8;6;6;21
El secreto del capitan O'Hara;1965;4,6;4;5;5
Lo chiamavano Tresette... giocava sempre col morto;1973;4,6;3;6;11
The Hole;2001;5,5;5,67;5;121
Come si fa un Martini;2001;5,2;5;5;6
Tutta la conoscenza del mondo;2001;5,8;5,6;6;16
Non e giusto;2001;7,5;8;7;9
Palavra e utopia;2000;7,2;7,33;7;13
Streghe;1989;3,8;4,25;3;22
Strangeland;1997;4,2;4;4;4
Kingdom Come;2001;5,3;6;5;3
Beautiful Joe;2000;5,8;6;6;10
Dr. Dolittle 2;2001;3,4;2,71;4;64
The Crew;2000;4,2;4;4;7
Josie and the Pussycats;2001;6,7;6;7;4
Drowning Mona;2000;5,8;6;6;13
Shriek If You Know What I Did Last Friday the 13th;2000;2,9;2,27;3;88
Jurassic Park III;2001;4,6;4,42;5;183
Pillole, capsule & supposte;1999;5,8;5;7;8
The Pride of the Yankees;1942;7,7;8;7;14
The Adventures of Rocky & Bullwinkle;2000;5,1;5,33;5;19
The Claim;2000;6,1;6;6;14
I giorni dell'amore e dell'odio;2001;2,5;3;2;5
Panic;2000;7,8;8;8;23
L'amore probabilmente;2001;5,6;5,6;6;16
I misteri di Roma;1963;4,5;6;3;4
Il flauto magico;1978;8,4;8,8;8;26
Poirot: Murder in Mesopotamia;2001;6,2;6;6;10
Lightning: Fire From Sky;2001;6,2;6;6;5
Per favore occupati di Amelia;1981;3,5;3,5;4;6
Gli scontenti;1961;4;4;4;5
Ehi amigo...sei morto!;1971;4,5;5,25;4;7
Il gioko;1989;5;5,4;5;10
La danse du scorpion;1987;5,5;6;5;3
Appuntamento col disonore;1970;4,1;4,5;4;5
La dottoressa sotto il lenzuolo;1976;4;4;4;15
Una bara per lo sceriffo;1965;5;4;6;5
La polizia interviene: ordine di uccidere!;1975;3,8;3,33;4;9
In the Name of People;2000;7,7;6;9;4
The Others;2001;7,5;7,26;8;425
The Unsaid;2001;5,6;5,2;6;71
Planet of the Apes;2001;5,6;5,62;6;248
Un taxi mauve;1977;5,7;6;5;12
Con la muerte a la espalda;1967;4,2;4;4;4
Un buco in fronte;1968;4,5;4,67;4;7
Luce dei miei occhi;2001;6,9;6,77;7;65
Heartbreakers;2001;5,5;5,11;6;97
Save the Last Dance;2001;3,7;3;4;83
Tornando a casa;2001;7,5;8;7;6
Diamond Girl;1998;7,5;6;9;3
L'uomo in piu;2001;7,5;7,44;8;249
Le pornographe;2001;6,2;6,2;6;29
The Trumpet of the Swan;2000;4,9;5,33;4;8
Senza filtro;2001;2,8;2;4;24
The Triumph of Love;2001;5,8;6;6;32
Adanggaman;2000;7,8;8;8;3
Crazy/Beautiful;2001;6;6;6;17
Cause of Death;2000;6;6;6;3
Eden;2001;5,5;6;5;9
3 Ninjas: High Noon at Mega Mountain;1998;3,9;4;4;6
The Phone Call;1989;4,3;6;3;3
Le chemin des ecoliers;1959;6,6;6,67;7;11
Frine cortigiana d'Oriente;1953;3,1;4,25;2;5
Gli innocenti pagano;1951;3,5;3;4;6
Bounce;2001;4,2;4;4;61
John Carpenter's Ghosts of Mars;2001;6,7;7;6;216
L'anglaise et le duc;2001;7,4;7,5;7;50
Session 9;2001;7,1;7,4;7;103
The Navigators;2001;7,3;7;8;52
Blow;2001;6,2;5,8;7;221
The Fast and the Furious;2001;5,6;5,42;6;217
The Curse of the Jade Scorpion;2001;7,2;7,25;7;253
Swordfish;2001;6;6;6;151
The Last Marshal;1999;6,8;6;8;3
Into Thin Air: Death on Everest;1998;4,5;6;3;4
Galaxy Quest;1999;6,8;6,75;7;41
Mon oncle d'Amerique;1980;7,4;7,58;7;45
Le saint prend l'affut;1966;4,9;6;4;7
La baby-sitter;1975;4,9;4;6;8
Pit Stop;1969;7;6;8;3
Basquiat;1996;5,6;5,5;6;42
The Girl Next Door;1997;6;6;6;3
Giuseppe di Nazareth;1999;4;4;4;7
When the Bough Breaks;1993;6,3;6;7;5
The Lesser Evil;1997;6,5;6;7;3
Cement;1999;6;6;6;3
Alla rivoluzione sulla due cavalli;2001;5,1;4,5;6;21
Safar e Ghandehar;2001;6,4;6,57;6;62
Mari del Sud;2001;5,4;5,78;5;71
La rentree;2001;6,5;5;8;7
Pier Paolo Pasolini e la ragione di un sogno;2001;7,2;7,25;7;15
A mosca cieca;1966;6,2;6,33;6;8
Ravanello pallido;2001;3,9;4;4;57
Moulin Rouge!;2001;7,1;7,08;7;290
Commandments;1997;5;6;4;5
My Mother Frank;2000;6,5;7;6;3
La stanza del figlio;2001;7,2;7,23;7;232
7 donne d'oro contro due 07;1966;3,7;3,33;4;8
La paura fa 90;1951;3,4;3;4;8
Vajont;2001;5,8;5,27;6;123
L'emploi du temps;2001;7,8;8,15;7;50
Luna rossa;2001;7,3;7,5;7;44
The Score;2001;6,2;6,07;6;152
Belphegor. Le fantome du Louvre;2001;3,3;2,67;4;61
Harrison's Flowers;2001;5,4;4,67;6;20
La verita vi prego sull'Amore;2001;3,5;3;4;6
La figlia di Mata Hari;1954;3,6;3;4;6
Saskatchewan;1954;6,7;6,75;7;22
Traversees;1982;7,8;8;8;3
Last Rites;1998;7;6;8;4
Fast Times at Ridgemont High;1982;6;5,33;7;21
Psycho-Circus;1964;6,2;6;6;4
Quindici forche per un assassino;1968;4,6;4,67;5;8
McCabe and Mrs. Miller;1971;8;8,22;8;105
Burnt Offerings;1976;6,7;6,5;7;50
Ch'ing shaonien na cha;1992;6;6,75;5;20
Sfida al diavolo;1965;4,8;3,67;6;11
All'ovest di Sacramento;1972;4;4;4;3
American Pie 2;2001;5,6;5,55;6;119
Cats & Dogs;2001;5,2;5,4;5;47
Jalla! Jalla!;2000;6,6;7;6;53
Le placard;2001;7,1;7,2;7;69
Tre mogli;2001;6;5,33;7;40
Azzurro;2000;5,6;4;7;6
The Princess Diaries;2001;4,9;4,5;5;43
Santa Maradona;2001;5,5;5,23;6;91
Party Girl;1995;6;6;6;4
Dunston Checks In;1996;5,7;6;5;9
Rupan sansei: Dead or Alive;1996;7;7;7;3
Wandafuru raifu;1998;7,3;7,17;8;35
The Prophecy II;1998;5,7;6;5;14
Il male oscuro;1989;6,4;5,13;8;28
Tre passi nel delirio;1967;6,7;6,43;7;76
Passing Glory;1999;6;6;6;3
Original Sin;2001;4,6;4,43;5;83
Hedwig and the Angry Inch;2000;5,9;5,6;6;30
Gouttes d'eau sur pierres brulantes;1999;7,3;7,29;7;58
Baby Boy;2001;6,7;7;6;11
Capitan Corelli's Mandolin;2001;4,7;4;5;85
Bedazzled;2000;5,5;5,71;5;77
A Knight's Tale;2001;5,5;5,22;6;123
Fuga dall'arcipelago maledetto;1982;4,3;4;5;10
Jack Reed: A Search for Justice;1994;5,8;6;6;3
Buckaroo - Il winchester che non perdona;1968;4,1;3;5;7
La pianiste;2001;7,3;7,28;7;204
Raye makhfi;2001;7,4;7,6;7;15
The Fourth Angel;2001;4;3,33;5;31
Streghe verso Nord;2001;4,1;4,67;4;34
The Pledge;2001;7,5;7,59;7;245
No Man's Land;2001;7,5;7,42;8;77
Bridget Jones's Diary;2001;6,4;6,35;6;224
Training Day;2001;6,9;6,89;7;264
Along Came a Spider;2001;5,9;5,71;6;115
A. I.: Artificial Intelligence;2001;6,9;7,04;7;362
Scary Movie 2;2001;4,9;4,8;5;168
The Night of the Living Dead;1968;6,3;7;6;14
Un tranquillo posto di campagna;1968;6,2;6,09;6;48
Alice in Wonderland;1999;5,2;4,5;6;23
X Change;2000;6,5;6;7;5
Y tu mama tambien;2001;7,2;6,91;7;68
Nurse Betty;2000;6,7;7,14;6;91
Le pacte des loups;2001;5,9;5,89;6;119
Angel Eyes;2001;4,4;4,17;5;43
Ca ira mieux demain;2000;6,5;7;6;8
The Wind in the Willows;1997;6,4;6;7;6
Marcia nuziale;1965;6,4;6,21;7;45
All Through the Night;1942;6,3;6;7;5
Abendland;1999;9;9;9;3
Ngo hai sui;1998;5,2;5,2;5;23
Come sono buoni i bianchi!;1988;6,6;6,67;7;23
La Jument verte;1959;5,3;6;5;7
Martin;1978;7,2;6,83;7;83
L'alpagueur;1976;6,4;6;7;9
Farelavita;2001;8;8;8;4
A, B, C... Manhattan;1997;7;7,33;7;10
Parfait amour!;1996;6,3;6;7;4
A Season for Miracles;1999;7,3;6;9;7
Gruppo di famiglia in un interno;1974;7,5;7,38;8;78
Ebenezer;1997;6,8;6;8;4
The Magical Legend of the Leprechauns;1999;5,9;6,67;5;12
David Copperfield;2000;4,5;6;3;3
A Christmas Carol;1999;6,9;6;8;11
Honey, We Shrunk Ourselves;1996;4,9;5;5;13
Babel;1999;6,9;7;7;6
The Apple Dumpling Gang;1975;5,5;6;5;10
The Apple Dumpling Gang Rides Again;1979;4,9;6;4;5
Pocahontas II: Journey to a New World;1998;4,8;6;4;11
The Jetsons Meet the Flintstones;1987;5,8;6;6;4
Sofies verden;1999;6;6;6;4
Blankman;1994;5;6;4;4
Il cocco di mamma;1957;4,8;3,5;6;3
The Dukes of Hazzard: Reunion!;1997;5,3;6;5;5
L'ultimo Capodanno;1998;5,6;4,9;6;79
Az orveny;1996;8;8;8;4
El Cid;1961;6,2;6;6;40
MVP: Most Valuable Primate;2000;4,2;3,5;5;7
Mefiez-vous, mesdames!;1963;5;6;4;8
The Secret of the Sword;1985;6,7;6;7;6
Una vergine moderna;1954;5,8;5;7;5
2019. Dopo la caduta di New York;1983;4,5;4;5;41
Il Principe e il pirata;2001;5,4;5,57;5;91
'R Xmas;2001;6,7;6,93;7;54
Monsoon Wedding;2001;6,4;6,86;6;38
Un crime au Paradis;2001;5;6;4;3
Lucky Numbers;2000;5,4;6;5;24
Ribelli per caso;2001;5,9;5,67;6;20
Huang Feihong zhi Wu long Cheng Jian Ba;1994;6,6;7;6;8
Khrustalev, mashynu!;1998;7,9;8,5;7;5
Il n'y a pas de fumee sans feu;1972;5,5;6;5;7
Lucky Break;2001;5,4;5,5;5;14
Serendipity;2001;6,5;6,5;7;165
The Emperor's New Clothes;2001;6,6;7;6;24
Iedereen beroemd!;2000;7,7;8,67;7;15
Quartetto;2001;5,8;4;8;5
Bandits;2001;7,1;7,62;7;140
Knockaround Guys;2001;5,5;5,2;6;27
Osmosis Jones;2000;6,2;6,18;6;59
Arcipelaghi;2001;7,6;7,5;8;11
ABC Africa;2001;7,1;7;7;9
Rock Star;2001;6,2;6,67;6;30
Shiqi sui de dan che;2001;7,5;8;7;33
Kiss of the Dragon;2001;6,3;6,5;6;58
Novocaine;2001;5,6;6;5;51
Malefemmene;2001;4,1;3;5;13
Nobel;2001;3,8;3,75;;4
Sole negli occhi;2001;6,5;6,67;6;22
Atlantis: The Lost Empire;2001;6,2;5,6;7;73
Spy Game;2001;6,2;6;6;190
Lara Croft: Tomb Raider;2001;3,8;3,33;4;155
The Body;2000;3,9;3,2;5;41
Momo alla conquista del tempo;2001;7,4;7,5;7;40
South Kensington;2001;3,8;4,22;3;45
Merry Christmas;2001;4,1;4,1;4;88
Desafinado;2001;4,5;4;5;3
The Man Who Wasn't There;2001;8,3;8,39;8;408
Mark il poliziotto spara per primo;1975;5,1;5;5;28
Il grande attacco;1977;6,3;6;7;28
Harry Potter and the Philosopher's Stone;2001;6,9;6,85;7;353
Hundstage;2001;6,9;7,06;7;46
He Died with a Felafel in His Hand;2001;6,4;6,3;6;82
Ocean's Eleven;2001;6,8;6,7;7;327
From Hell;2001;7,1;7,16;7;310
The Rich Man's Wife;1996;5,7;6;5;19
Jeanne la Pucelle: Les batailles - Les prisons;1994;6,8;7,29;6;16
Gangsters '70;1968;5,1;5,25;5;6
Francesca e Nunziata;2001;5,4;5,33;6;7
Gli indifferenti;1987;6,1;6;6;8
Antropophagus;1980;5,8;5;7;52
Diva;1981;7,2;7;7;19
The Saga of the Viking Women and Their Voyage...;1958;5,8;6;6;3
Golden Earrings;1947;6,3;6;7;5
Vinyl;1965;7,1;7;7;21
Scorchers;1991;7;6;8;3
Viva America!;1970;4,7;4;5;4
Tripfall;1999;4,5;6;3;3
Teen Wolf Too;1987;3,9;4;4;10
Mozart e un assassino;1999;6;6;6;6
Un Amleto di meno;1973;7,3;7;8;28
To Hell and Back;1955;7,1;7;7;21
Requiescant;1967;5,6;5,6;6;18
Nero Wolfe: Champagne for One;2001;6,8;6;8;3
Violenza sul lago;1954;4;4;;3
Pauline en Paulette;2001;7,6;7,33;8;11
Blek giek;2002;4,8;4,25;5;23
Life as a House;2001;6,1;6;6;39
Behind Enemy Lines;2001;4,1;3,71;5;79
Rat Race;2001;6,1;6,1;6;139
Capitaes de Abril;2000;5,5;6;5;9
The Lord of the Rings: The Fellowship of the Ring;2001;8;8,08;8;562
Hearts in Atlantis;2001;6,9;6,86;7;88
The Glass House;2001;6,1;6,33;6;79
L'argent;1983;8,3;8,56;8;68
Brucio nel vento;2002;7,1;7,25;7;48
The Doorbell Rang;2001;6,8;6;8;3
Boca a boca;1995;6,5;6;7;3
Due once di piombo;1966;4,6;4,33;5;9
Non avere paura della zia Marta;1989;3,6;3;4;27
Le fabuleux destin d'Amelie Poulain;2000;7;6,63;7;426
Birthday Girl;2001;5;4,38;6;108
Ti voglio bene Eugenio;2002;3,5;3,5;4;8
Un amore perfetto;2002;4,5;4,33;5;18
Volesse il cielo!;2002;4,1;4;4;41
K-Pax;2001;6,3;6,22;6;136
Forget Me Never;1999;6,4;6;7;10
Over My Dead Body;2001;6,8;6;8;3
Le retour de Casanova;1992;3,7;4;3;8
Gli specialisti;1969;6,3;6;7;26
Madeline;1998;4,3;4;5;12
La leggenda di Fra' Diavolo;1962;7,3;6;9;3
Sinnui yauman;1987;7,6;7,29;8;50
Topazu;1991;6,5;6,27;7;55
Iris;2000;6,5;6;7;13
The Dancer;2000;3,5;4;3;7
Vanilla Sky;2001;5,5;5,25;6;191
Figli. Hijos;2002;7,2;7,57;7;71
Navajo Blues;1996;5,3;6;5;3
Angel Town;1990;8;6;10;3
Who Am I This Time?;1982;7,5;8;7;5
La coda dello scorpione;1971;6,1;5,38;7;44
Buddy;1998;5,8;6;6;5
Hearts of Fire;1987;5,3;5;6;6
Prisoner's Base;2001;6,8;6;8;3
Tolerance;1989;6,8;5,5;8;4
Un maresciallo in gondola;2000;3,1;3;3;26
Wish You Were Here;1987;6,8;6;8;7
El vampiro de la autopista;1970;3,8;3,5;4;11
Black Hawk Down;2001;7,1;7,06;7;240
The Little Vampire;2001;6,4;6,5;6;8
L'inverno;2002;5;3,67;6;10
The Believer;2001;7;7,07;7;146
Incantesimo napoletano;2002;5,9;6,29;6;48
The Musketeer;2001;4,5;4,67;4;30
Heist;2001;6,9;7;7;135
Da zero a dieci;2002;5,2;5,22;5;83
Zil pevcij drozd;1970;7,4;7,8;7;19
Palmetto;1998;6,3;6,67;6;47
Ocean Tribe;1997;6,8;6;8;3
Desperate Measures;1997;5,9;5,86;6;59
Un branco di vigliacchi;1962;6,3;6;7;7
Una vita violenta;1962;7;6,88;7;29
The Bank;2001;6,8;7;7;26
America's Sweethearts;2001;6,1;6,31;6;105
3000 Miles To Graceland;2001;5,8;5,88;6;61
The Shipping News;2001;5,3;5;6;34
Mulholland Drive;2001;8,5;8,65;8;607
La casa del sortilegio;1989;3,8;3,33;4;14
Peligro...! Mujeres en accion;1967;5,2;4;6;6
Rosso sangue;1981;5,7;5,33;6;30
The Outlaw;1943;6,5;6,67;6;30
Deux fois cinquante ans de cinema francais;1995;6,5;8;5;4
Las trompetas del apocalipsis;1969;3,3;3;4;14
Umorismo in nero;1964;5,5;6;5;10
L'heritier;1972;6,2;6;6;6
A Beautiful Mind;2001;7,1;6,83;7;399
Biuti quin Olivia;2002;4,8;4;6;5
Il nostro matrimonio e in crisi;2002;4,3;4,5;4;34
Sidewalks of New York;2001;6,5;7;6;14
Collateral Damage;2002;4,8;4,5;5;75
Paz!;2001;6,4;6,3;6;89
Legally Blonde;2001;5,5;5,5;6;78
Hardball;2001;5;4,8;5;48
Gosford Park;2001;7,3;7,36;7;219
Dervis - Il derviscio;2001;5,5;5,5;6;4
Amnesia;2002;5,5;5,25;6;87
Quore;2002;5,5;5;6;6
The Affair of Necklace;2001;5,9;6;6;38
I banchieri di Dio;2001;4,5;4,27;5;35
Un epais manteau de sang;1967;3,5;4;3;3
Corte marziale;1973;3,5;3;4;4
How Harry Became a Tree;2001;6,5;6,33;7;37
Kate & Leopold;2001;6,5;7;6;143
Lundi matin;2002;7,1;7;7;23
Crush;2001;5,2;5;5;9
Thir13en Ghosts;2001;5,1;4,88;5;71
Le meraviglie di Aladino;1961;5;4,25;6;22
Via Paradiso;1988;3,8;3,67;4;4
Knightriders;1981;6,9;7,33;7;28
Nowhere;2002;4,8;5;5;6
Fah talai jone;2001;6,9;7;7;19
Nati stanchi;2002;5,3;5,13;5;93
Vidocq;2001;5,6;5,71;5;95
Ali;2001;7;6,86;7;209
Mein liebster Feind - Kinski;1999;7,7;7,62;8;69
Lonesome Cowboys;1968;7,1;8;6;15
Sweepers;1999;5,3;4;7;5
Playing God;1997;5,5;6;5;15
D-Tox;2002;4,8;4,75;5;66
Killing Me Softly;2001;4,1;3,33;5;34
Tanguy;2001;7,1;7;7;107
Monsters, Inc.;2001;8,4;8,48;8;383
I Am Sam;2001;6,4;6,3;7;148
Riding in Cars with Boys;2001;5,6;5,25;6;28
In the Bedroom;2001;6,8;7;7;46
Pastasciutta nel deserto;1961;4,5;4,5;5;4
The Silver Chalice;1954;4,4;4;5;8
Blind Terror;2001;5,7;6;5;6
Mad Dog Time/Trigger Happy;1996;4,2;4;4;18
Race Against Time;2000;6;6;6;4
Once Upon a Forest;1993;6;6;6;3
Land des Schweigens und der Dunkelheit;1971;8;7,91;8;50
I'm Not Rappaport;1996;6,7;6,33;7;6
Two in a Crowd;1936;5,5;6;5;3
Good Advice;2001;3,5;3;4;5
Crossroads;2002;3,6;3,33;4;20
Amore con la S maiuscola;2002;3,9;3,25;5;8
Taking Side;2001;6,3;6,44;6;27
Il Consiglio d'Egitto;2002;6,6;6,9;6;25
Iris;2001;6,5;6,33;7;40
Akai hashi no shita no nurui mizu;2001;7,4;7,6;7;23
Two Flags West;1950;6,6;6;7;10
Fantasia;1940;8,6;8,67;9;230
Fugitive Rage;1995;4,5;4;5;4
Wicked;1998;7;6;8;3
Merlin;1998;5,9;4,75;7;26
If These Walls Could Talk 2;1999;6,5;6;7;8
Rollerball;2002;3,7;3,57;4;56
The Time Machine;2002;5,6;5,1;6;145
The Royal Tenenbaums;2001;7,1;6,93;7;317
Hable con ella;2001;8,1;8,33;8;293
Quasi quasi...;2001;3,7;4;3;18
13 Conversation About One Thing;2001;6,5;6,71;6;36
Lady Frankenstein;1970;4,3;4;5;8
Il nido del ragno;1988;5,3;5;6;19
Il braccio violento del Thay-Pan;1978;5,6;5;6;11
Tir-na-nOg - Into the West;1992;5,3;6,5;4;3
Bez konca;1985;7,9;7,93;8;37
Fiabe metropolitane;1997;5;6;4;3
Race the Sun;1996;6,7;6;7;4
Dust;2001;5,3;5,5;5;42
Monster's Ball;2001;7,1;7,4;7;144
Enigma;2001;5,6;5,5;6;50
Domestic Disturbance;2001;5;4,29;6;60
Lethal Vows;1999;7;6;8;3
The Exorcist;1973;8,3;8,54;8;447
Pastorali;1976;6,6;7,25;6;5
Operai, contadini;2001;7,3;7;8;7
From Star Wars to Star Wars;1999;8,4;8;9;5
Convicts;1990;5,8;6;6;4
Attila;2001;6,1;6;6;8
Shallow Hal;2001;5,9;5,87;6;170
La repetition;2001;5,1;5;5;13
Dungeons & Dragons;2000;3;2,33;4;34
As tres Marias;2002;5,5;6;5;7
L'amore imperfetto;2001;5,5;6;5;6
Il piu bel giorno della mia vita;2001;6,3;6,18;6;65
Dragonfly;2002;5;4,29;6;103
Don't Say a Word;2001;5,7;5,86;6;115
Hotel Dajti;2000;4,5;4;5;3
La vita degli altri;2001;5,7;5;6;8
Sometimes a Great Notion;1971;5,6;5,75;6;22
The Rage: Carrie 2;1999;4,3;4;5;15
Paws;1997;6,5;6;7;3
Dance with Me;1998;3,8;4;4;5
Gli ultimi;1963;7,3;6,67;8;13
Panic Room;2002;6,2;6,3;6;261
Tosca;2001;7;6;8;4
Lantana;2001;7,4;7,9;7;93
Showtime;2001;4,9;4,86;5;70
Amen.;2002;6,7;6,78;7;77
L'ora di religione;2002;7,6;7,83;7;197
Rue des plaisirs;2002;4,4;4;5;12
Rush Hour 2;2001;5,6;5,22;6;76
The Medusa Touch;1978;6,4;6;7;49
John Q.;2002;5,9;5,56;6;159
Fatal Affair;1998;5;6;4;3
Spara Joe... e cosi sia!!!;1972;3,6;3;4;9
Las vampiras;1971;6,3;6,5;6;13
The Nude Restaurant;1967;5,6;6;5;6
Semana Santa;2002;4;4;4;3
Ice Age;2002;7,6;7,57;8;329
The Scorpion King;2002;3,7;3,25;4;98
Casomai;2001;5,8;5,8;6;105
A porte chiuse;1960;5;6;4;4
Dead Sleep;1990;5;6;4;3
Creator;1985;6,5;6;7;27
Bela Donna;1998;3,8;4;4;3
Mindstorm;2001;5;4;6;3
Mel;1999;7;6;8;3
Love Letters;1999;7,4;7;8;6
As bodas de Deus;1999;7,6;7,5;8;8
Il figlio dello sceicco;1962;3,4;3;4;9
Italiensk for begyndere;2000;7,1;7,4;7;41
The Count of Montecristo;2002;6,4;6,5;6;103
Liberty Stands Still;2002;5,4;5,33;5;29
Saving Silverman;2001;4,9;4,25;6;58
Bloody Sunday;2002;7,8;7,85;8;112
Sur mes levres;2001;7,4;7,41;7;170
Mademoiselle;2000;7,4;7,5;7;7
500!;2000;7;6;8;4
Queen of the Damned;2002;4,9;4,5;5;40
A doppia faccia;1969;5,1;4,67;6;8
Sette baschi rossi;1968;4,2;5;3;5
Aida degli alberi;2001;5,8;6;6;26
40 Days and 40 Nights;2002;5;5,25;5;75
The Anniversary Party;2001;5,8;6;6;22
Va savoir!;2001;6,3;6,44;6;43
Ultimo stadio;2002;3,8;3,2;4;10
Una bellezza che non lascia scampo;2001;6,5;6;7;3
Best;2000;4,8;4,67;5;43
Texas '46;2002;4,3;4;5;6
Wasabi;2001;5,7;5,43;6;106
Une hirondelle a fait le printemps;2000;7,7;8;7;4
Voci;2001;6;6;6;7
The Majestic;2001;6,1;5,71;7;94
Gaudi Afternoon;2001;5,3;5,33;5;9
Soul Survivors;2001;4,8;5;5;31
The One;2001;4,1;3,25;5;74
Supercolpo da 7 miliardi;1967;3,9;4;4;6
Comedie de l'innocence;2000;6,8;7;7;7
E tornato Sabata... hai chiuso un'altra volta!;1971;4,9;4;6;11
Lebenszeichen;1968;7,5;7,33;8;31
Dog Star Man;1964;7,4;9;6;8
The Other Sister;1999;5,6;6;5;21
L'attentatuni;2001;4,8;5;5;9
Chopper;2000;6,7;6,5;7;56
Star Wars: Episode II - Attack of the Clones;2002;6,3;6,28;6;308
Big Trouble;2002;5,2;5,5;5;16
Sei come sei;2002;5,8;6;6;6
La fidelite;2000;5,7;5,67;6;30
Die Stille nach dem Schuss;1999;6,8;7,33;6;13
Death to Smoochy;2002;6,9;7,6;6;49
Edges of the Lord;2001;6,5;6,8;6;25
The Face of Fu Manchu;1965;6;6;6;4
L'erba proibita;2002;7,1;7,5;7;5
Abuso di potere;1972;5,8;5,4;6;10
Raw Wind in Eden;1958;4;4;4;4
Switching Goals;1999;4,8;6;4;5
L'eta di Cosimo de' Medici;1973;7,2;7,33;7;10
Cartesius;1974;7,3;7,33;7;15
K-911;1999;3,7;3,5;4;13
Il mio viaggio in Italia;1999;7,3;7,13;8;27
Wild Bill;1995;6,7;7;6;62
Not Another Teen Movie;2001;4,1;3,67;5;53
Waking Life;2001;5,7;4,88;6;59
The Quickie;2001;6,7;6;7;6
The Mothman Prophecies;2002;6,7;6,9;6;174
Mean Machine;2001;4,8;4,8;5;30
The Third Wheel;2001;5;5,2;5;37
Respiro;2002;6,7;6,47;7;156
Irreversible;2002;5,4;5,25;6;141
Angela;2002;6,8;6,14;8;22
N'Gopp;2001;2,5;2,5;;4
Postmortem;1997;5,6;6;5;5
Beat the Devil;1953;5,7;5,17;6;25
Little Boy Blue;1997;5,5;6;5;3
Signore & signori;1965;8,4;8,48;8;136
Navigating the Heart;2000;7;6;8;5
Passport to Paris;1999;3,9;2;6;5
Lilo & Stitch;2002;6,9;6,89;7;137
State and Main;2000;6,4;6,5;6;57
Lost and Delirious;2001;5,6;4,8;6;44
Benzina;2001;4,1;4;4;9
Joy Ride;2001;6,1;5,92;6;120
Human Nature;2001;5,4;5,11;6;43
Someone Like You;2001;5,8;6,29;5;42
Hart's War;2002;6,1;6;6;72
Charlotte Gray;2001;6,1;6,17;6;43
Kissing Jessica Stein;2001;6,8;7,33;6;37
The Salton Sea;2002;6,2;6,33;6;43
Get Well Soon;2001;6,3;;6;4
Drei Sterne;2001;6,5;6,5;7;34
Long Time Dead;2002;5,4;5,5;5;25
Repli-Kate;2002;4,4;3,75;5;26
Daddy and Them;2001;6,2;6;6;15
Corky Romano;2001;3,1;4;2;7
Socrate;1970;6,5;6,2;7;26
Agostino d'Ippona;1972;6,3;7,33;5;12
Blaise Pascal;1971;7,4;8;7;16
Black Dog;1999;4,4;4;5;19
A Burning Passion: The Margaret Mitchell Story;1994;7;6;8;7
Tuesdays with Morrie;1999;7,5;6;9;3
I colpevoli;1955;5;4,5;6;4
Die verlorene Ehre der Katharina Blum;1975;7,1;7,38;7;16
Billboard Dad;1998;5;6;4;3
Ruby Bridges;1998;7;6;8;3
My Life So Far;1999;4,4;2;7;10
Atti degli apostoli;1969;6,2;6;6;10
Kedma;2002;5,4;5;6;9
Samsara;2001;6,4;6;7;43
Spider-Man;2002;7,1;6,9;7;458
Quello che cerchi;2001;4,3;4;5;5
Out Cold;2001;4;4;4;11
No desearas al vecino del quinto;1970;3,8;4;4;7
Cabiria;1914;8,1;7,86;8;42
Paris s'eveille;1991;6,5;6,8;6;21
Dangerous Child;2001;8;6;10;3
Daughters;1997;7,5;6;9;5
Trapped: Beneath the Snow;2001;5,7;4;7;7
Girl from Rio;2001;4,5;4;5;3
Ni neibian jidian;2001;7,1;6,92;7;48
La regina degli scacchi;2001;5;4;6;6
24 Hour Party People;2002;6,9;7;7;42
All or Nothing;2002;7,6;7,64;8;30
Bowling for Columbine;2002;7,7;7,84;8;198
Demonlover;2002;5,8;6;6;29
Yadon ilaheyya;2001;6,5;6,4;7;28
Chihwaseon;2002;7,6;7,91;7;33
